Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,income_per_year,years_since_promotion_ratio,satisfaction_score,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,1,1,2,2,3,2,4,5993,8,1,11,3,1,0,8,0,1,6,4,0,5,8989.5,0.0,2.3333333333333335,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49,0,8,1,3,2,2,2,5130,1,0,23,4,4,1,10,3,3,10,7,1,7,6156.0,0.1,2.6666666666666665,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
37,1,2,2,4,2,1,3,2090,6,1,15,3,2,0,7,3,3,0,0,0,0,3582.8571428571427,0.0,3.3333333333333335,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
33,0,3,4,4,3,1,3,2909,1,1,11,3,3,0,8,3,3,8,7,3,0,4363.5,0.375,3.3333333333333335,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,0,2,1,1,3,1,2,3468,9,0,12,3,4,1,6,3,3,2,2,2,2,6936.0,0.3333333333333333,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
32,0,2,2,4,3,1,4,3068,0,0,13,3,3,0,8,2,2,7,7,3,6,4602.0,0.375,3.3333333333333335,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
59,0,3,3,3,4,1,1,2670,4,1,20,4,1,3,12,3,2,1,0,0,0,2670.0,0.0,2.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
30,0,24,1,4,3,1,3,2693,1,0,22,4,2,1,1,2,3,1,0,0,0,32316.0,0.0,3.3333333333333335,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
38,0,23,3,4,2,3,3,9526,0,0,21,4,2,0,10,2,3,9,7,1,8,11431.2,0.1,3.3333333333333335,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
36,0,27,3,3,3,2,3,5237,6,0,13,3,2,2,17,3,2,7,7,7,7,3696.705882352941,0.4117647058823529,2.6666666666666665,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
